can not open map file operacinis.lsi
Loading netlist......
Loading netlist successfully.
at 8600.000 ns, R4  expected: 0, actual: 1
at 8600.000 ns, R3  expected: 0, actual: 1
at 8600.000 ns, R1  expected: 0, actual: 1
at 8900.000 ns, RZ  expected: 0, actual: 1
at 8900.000 ns, R7  expected: 0, actual: 1
at 8900.000 ns, R6  expected: 0, actual: 1
at 8900.000 ns, R5  expected: 0, actual: 1
at 8900.000 ns, R4  expected: 0, actual: 1
at 8900.000 ns, R3  expected: 0, actual: 1
at 8900.000 ns, R1  expected: 0, actual: 1
Operation RUN ends.
